SMILES,Sigma,NBO_CC,NBO_SC,E(HOMO),E(LUMO)
O=C(O)c1cccc(SC(F)(F)C(F)(F)F)c1,0.44,-0.17,-0.232,-0.28496,-0.08316
O=C(O)c1cccc(N(C(F)(F)F)C(F)(F)F)c1,0.4,-0.166,0.107,-0.29453,-0.0844
O=C(O)c1cccc(/S(=N/S(=O)(=O)C(F)(F)F)C(F)(F)F)c1,1.18,-0.156,-0.273,-0.30251,-0.10202
O=C(O)c1cccc(S(=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)c1,1.23,-0.162,-0.31,-0.31685,-0.10782
O=C(O)c1cccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)c1,0.61,-0.167,0.08,-0.29979,-0.09185
O=C(O)c1cccc(P(C(F)(F)F)C(F)(F)F)c1,0.6,-0.172,-0.404,-0.29583,-0.09082
N#CP(C#N)c1cccc(C(=O)O)c1,0.82,-0.168,-0.376,-0.30378,-0.1
C#Cc1cccc(C(=O)O)c1,0.21,-0.174,-0.131,-0.25452,-0.07296
O=C(O)c1cccc(OC(F)(F)C(F)Cl)c1,0.35,-0.164,0.263,-0.28281,-0.07734
O=C(O)c1cccc(NC(=O)C(F)(F)F)c1,0.3,-0.161,0.134,-0.26419,-0.08015
O=C(O)c1cccc(/C=N/S(=O)(=O)C(F)(F)F)c1,0.76,-0.166,-0.157,-0.29695,-0.1138
O=C(O)c1cccc(OC(F)(F)C(F)F)c1,0.34,-0.161,0.279,-0.28489,-0.07912
O=C(O)c1cccc(SC(F)(F)C(F)F)c1,0.38,-0.17,0.228,-0.28176,-0.0807
O=C(O)c1cccc(-n2nnnc2SS2=NN=NN2)c1,0.63,-0.163,0.135,-0.24967,-0.1415
C#CSc1cccc(C(=O)O)c1,0.26,-0.159,-0.192,-0.23348,-0.07227
O=C(O)c1cccc(S/C=C/Cl)c1,0.31,-0.163,-0.205,-0.23385,-0.07379
O=C(O)c1cccc([Se]/C=C/Cl)c1,0.28,-0.17,-0.241,-0.22961,-0.07136
O=C(O)c1cccc(CC(F)(F)F)c1,0.12,-0.169,-0.064,-0.27809,-0.07339
O=C(O)c1cccc(CS(=O)C(F)(F)F)c1,0.25,-0.172,-0.091,-0.26578,-0.07359
O=C(O)c1cccc(CS(=O)(=O)C(F)(F)F)c1,0.29,-0.168,-0.096,-0.28571,-0.0807
O=C(O)c1cccc(CSC(F)(F)F)c1,0.12,-0.169,-0.076,-0.27342,-0.07668
N#CCc1cccc(C(=O)O)c1,0.16,-0.166,-0.044,-0.27952,-0.07601
O=C(O)c1cccc(C=C[N+](=O)[O-])c1,0.32,-0.168,-0.104,-0.27699,-0.12051
O=C([O-])Cc1cccc(C(=O)O)c1,0.07,-0.2,-0.017,-0.06613,0.04269
N#CSCc1cccc(C(=O)O)c1,0.12,-0.168,-0.086,-0.27396,-0.0828
C=Cc1cccc(C(=O)O)c1,0.06,-0.174,-0.085,-0.24453,-0.07193
O=C(CCl)Nc1cccc(C(=O)O)c1,0.17,-0.164,0.141,-0.25164,-0.07109
CN(c1cccc(C(=O)O)c1)S(=O)(=O)C(F)(F)F,0.46,-0.167,0.121,-0.27275,-0.07995
CC(=O)O[Hg]c1cccc(C(=O)O)c1,0.39,-0.167,-0.425,-0.24045,-0.07548
CC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-],0.54,-0.165,-0.116,-0.29241,-0.11184
O=C(O)c1cccc(C2CO2)c1,0.05,-0.17,-0.085,-0.26227,-0.06746
C=COc1cccc(C(=O)O)c1,0.21,-0.16,0.301,-0.24063,-0.06981
CC(=O)c1cccc(C(=O)O)c1,0.38,-0.179,-0.16,-0.26911,-0.08439
CC(=O)Sc1cccc(C(=O)O)c1,0.39,-0.171,-0.232,-0.26611,-0.08199
CC(=O)Oc1cccc(C(=O)O)c1,0.39,-0.162,0.278,-0.27422,-0.08042
COC(=O)c1cccc(C(=O)O)c1,0.37,-0.179,-0.167,-0.28165,-0.0772
O=C(O)c1cccc(C2CS2)c1,0.04,-0.171,-0.069,-0.23917,-0.07118
C=CSc1cccc(C(=O)O)c1,0.26,-0.165,-0.207,-0.22707,-0.07032
C=C[Se]c1cccc(C(=O)O)c1,0.26,-0.174,-0.263,-0.22246,-0.07349
O=C(O)c1cccc(N2CC2)c1,-0.07,-0.165,0.151,-0.22725,-0.06173
O=C(O)c1cccc(C2CN2)c1,-0.06,-0.174,-0.064,-0.25233,-0.06185
CN1OC1c1cccc(C(=O)O)c1,0.09,-0.176,-0.106,-0.26587,-0.07074
COC(=O)Nc1cccc(C(=O)O)c1,-0.02,-0.161,0.151,-0.24191,-0.06853
CC(=O)Nc1cccc(C(=O)O)c1,0.21,-0.161,0.143,-0.24971,-0.07656
CNC(=O)c1cccc(C(=O)O)c1,0.35,-0.173,-0.138,-0.2633,-0.07386
CO/N=C/c1cccc(C(=O)O)c1,0.37,-0.175,-0.111,-0.24141,-0.07628
NC(=O)Cc1cccc(C(=O)O)c1,0.06,-0.171,-0.065,-0.2579,-0.07621
CC(=S)Nc1cccc(C(=O)O)c1,0.24,-0.161,0.133,-0.22115,-0.0814
CNC(=S)c1cccc(C(=O)O)c1,0.3,-0.172,-0.115,-0.21575,-0.07511
NC(=S)N/N=C/c1cccc(C(=O)O)c1,0.45,-0.171,-0.118,-0.22595,-0.08878
O=C(O)c1cccc(OCC[O-])c1,-0.12,-0.176,0.342,-0.00329,0.02918
CCc1cccc(C(=O)O)c1,-0.07,-0.173,-0.038,-0.26056,-0.06243
NNC(=O)N/N=C/c1cccc(C(=O)O)c1,0.22,-0.175,-0.107,-0.23498,-0.07693
CCOc1cccc(C(=O)O)c1,0.1,-0.163,0.316,-0.23809,-0.06066
CC(O)c1cccc(C(=O)O)c1,0.08,-0.175,-0.06,-0.26053,-0.06159
COCc1cccc(C(=O)O)c1,0.08,-0.173,-0.065,-0.2577,-0.0607
CCS(=O)(=O)c1cccc(C(=O)O)c1,0.66,-0.17,-0.321,-0.29349,-0.08439
CCSc1cccc(C(=O)O)c1,0.18,-0.163,-0.196,-0.22342,-0.06591
CN(C)P(Cl)c1cccc(C(=O)O)c1,0.38,-0.175,-0.402,-0.25383,-0.0734
N[C+](N)SCc1cccc(C(=O)O)c1,0.13,-0.154,-0.112,-0.37806,-0.20343
C[Si](C)(Cl)c1cccc(C(=O)O)c1,0.16,-0.179,-0.528,-0.27474,-0.06976
C[Si](C)(F)c1cccc(C(=O)O)c1,0.12,-0.18,-0.545,-0.27249,-0.06795
CCNc1cccc(C(=O)O)c1,-0.24,-0.162,0.171,-0.21162,-0.05549
CN(C)c1cccc(C(=O)O)c1,-0.16,-0.16,0.179,-0.20603,-0.05485
CN(c1cccc(C(=O)O)c1)S(C)(=O)=O,0.21,-0.17,0.122,-0.25427,-0.07412
CN(C)S(=O)(=O)c1cccc(C(=O)O)c1,0.51,-0.171,-0.318,-0.26414,-0.08311
CS(=O)(=O)N(c1cccc(C(=O)O)c1)S(C)(=O)=O,0.47,-0.175,0.085,-0.28497,-0.08094
CN(C)Sc1cccc(C(=O)O)c1,0.12,-0.164,-0.206,-0.22621,-0.06311
CN(C)/N=N\c1cccc(C(=O)O)c1,-0.05,-0.172,0.1,-0.22154,-0.05746
Cn1c2ccc(C(=O)O)cc2n[n+]1C,1.17,-0.094,0.134,-0.41017,-0.25244
CP(C)(=O)c1cccc(C(=O)O)c1,0.43,-0.172,-0.437,-0.27171,-0.07417
COP(=O)(OC)c1cccc(C(=O)O)c1,0.42,-0.177,-0.437,-0.27966,-0.07134
CP(C)c1cccc(C(=O)O)c1,0.03,-0.178,-0.359,-0.23997,-0.06664
C[S+](C)c1cccc(C(=O)O)c1,1.0,-0.141,-0.252,-0.4095,-0.21319
Cc1ccc(S(=O)(=O)S(C)(C)c2cccc(C(=O)O)c2)cc1,1.06,-0.16,-0.22,-0.18274,-0.08072
[NH3+]CCc1cccc(C(=O)O)c1,0.23,-0.145,-0.106,-0.39439,-0.19374
C[SiH](C)c1cccc(C(=O)O)c1,0.01,-0.18,-0.488,-0.26695,-0.06464
O=C(O)c1cccc(C#CC(F)(F)F)c1,0.41,-0.171,-0.152,-0.27604,-0.08773
O=C(O)c1cccc(/C(F)=C(\F)C(F)(F)F)c1,0.39,-0.17,-0.143,-0.27131,-0.09108
O=C(O)c1cccc(N=C(C(F)(F)F)C(F)(F)F)c1,0.29,-0.165,-0.095,-0.2713,-0.10939
O=C(O)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,0.44,-0.169,-0.151,-0.29553,-0.08395
O=C(O)c1cccc(C(F)(C(F)(F)F)C(F)(F)F)c1,0.37,-0.164,-0.117,-0.29436,-0.08326
O=C(O)c1cccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)c1,0.92,-0.166,-0.343,-0.30866,-0.09846
O=C(O)c1cccc(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)c1,0.92,-0.168,-0.336,-0.30837,-0.09898
