SMILES,Sigma,NBO_CC,NBO_SC,E(HOMO),E(LUMO)
O=C(O)c1ccc(F)cc1,0.06,-0.191,-0.433,-0.27434,-0.06835
O=C(O)c1ccc([Hg]F)cc1,0.33,-0.168,-0.414,-0.27776,-0.07268
O=C(O)c1ccc(S(=O)F)cc1,0.83,-0.151,0.283,-0.29172,-0.10406
O=C(O)c1ccc(S(=O)(=O)F)cc1,0.91,-0.143,-0.318,-0.30757,-0.10885
O=C(O)c1ccc(I(F)F)cc1,0.83,-0.164,-0.239,-0.27814,-0.08119
O=C(O)c1ccc(P(=O)(F)F)cc1,0.89,-0.144,-0.486,-0.30169,-0.10344
O=C(O)c1ccc(P(F)F)cc1,0.59,-0.151,-0.447,-0.29014,-0.09557
O=C(O)c1ccc([Ge](F)(F)F)cc1,0.97,-0.145,-0.605,-0.29763,-0.09622
O=C(O)c1ccc(S(F)(F)F)cc1,0.8,-0.142,-0.268,-0.30036,-0.114
O=C(O)c1ccc([Si](F)(F)F)cc1,0.69,-0.144,-0.635,-0.29409,-0.09432
O=C(O)c1ccc(I(F)(F)(F)F)cc1,1.15,-0.144,-0.322,-0.29885,-0.11701
O=C(O)c1ccc(P(F)(F)(F)F)cc1,0.8,-0.136,-0.481,-0.29879,-0.10676
O=C(O)c1ccc(S(F)(F)(F)(F)F)cc1,0.68,-0.153,-0.219,-0.30178,-0.09675
O=C(O)c1ccc(I)cc1,0.18,-0.172,-0.207,-0.25358,-0.06822
O=Ic1ccc(C(=O)O)cc1,0.62,-0.17,-0.238,-0.21885,-0.08304
O=C(O)c1ccc(I(=O)=O)cc1,0.78,-0.155,-0.306,-0.26209,-0.10716
O=Nc1ccc(C(=O)O)cc1,0.91,-0.137,0.041,-0.24536,-0.13251
O=C(O)c1ccc([N+](=O)[O-])cc1,0.78,-0.145,0.088,-0.30138,-0.12495
O=C(O)c1ccc(O[N+](=O)[O-])cc1,0.7,-0.163,0.27,-0.28972,-0.09559
N#[N+]c1ccc(C(=O)O)cc1,1.91,-0.053,0.011,-0.43888,-0.30905
O=C(O)c1ccc(N=[N+]([O-])[O-])cc1,-0.43,-0.247,0.16,-0.08288,0.05363
[N-]=[N+]=Nc1ccc(C(=O)O)cc1,0.08,-0.188,0.133,-0.25324,-0.07974
O=C(O)c1ccc([O-])cc1,-0.81,-0.295,0.405,-0.04677,0.08976
O=C(O)c1ccc(S(=O)[O-])cc1,-0.05,-0.213,-0.229,-0.04803,0.04193
O=C(O)c1ccc(S(=O)(=O)[O-])cc1,0.35,-0.206,-0.251,-0.09997,0.03366
O=C(O)c1ccc([S-])cc1,-1.21,-0.261,-0.17,-0.04427,0.07654
O=C(O)c1ccc([As](=O)([O-])O)cc1,-0.02,-0.195,-0.406,-0.07687,0.0406
O=C(O)c1ccc(N[N+](=O)[O-])cc1,0.57,-0.184,-0.146,-0.26761,-0.0966
O=C(O)c1ccc(O)cc1,-0.37,-0.206,0.335,-0.25005,-0.05669
O=C(O)c1ccc(S(=O)O)cc1,-0.07,-0.159,-0.263,-0.27083,-0.08936
O=C(O)c1ccc(P(=O)([O-])O)cc1,0.26,-0.208,-0.371,-0.10749,0.03847
O=C(O)c1ccc(OP(=O)([O-])O)cc1,0.0,-0.238,0.381,-0.12079,0.04557
O=C(O)c1ccc(S)cc1,0.15,-0.191,-0.163,-0.24174,-0.06698
O=C(O)c1ccc(B(O)O)cc1,0.12,-0.166,-0.388,-0.26408,-0.07111
Nc1ccc(C(=O)O)cc1,-0.66,-0.219,0.185,-0.22637,-0.04765
O=C(O)c1ccc(NO)cc1,-0.34,-0.207,0.161,-0.23559,-0.05533
NS(=O)(=O)c1ccc(C(=O)O)cc1,0.6,-0.156,-0.288,-0.28905,-0.09003
O=C(O)c1ccc(P(=O)(O)O)cc1,0.42,-0.158,-0.444,-0.28395,-0.08369
O=C(O)c1ccc(P)cc1,0.05,-0.177,-0.301,-0.25646,-0.07119
O=C(O)c1ccc([B-](O)(O)O)cc1,-0.44,-0.228,-0.228,-0.09836,0.06445
O=C(O)c1ccc([GeH3])cc1,0.01,-0.172,-0.39,-0.2745,-0.07213
[NH3+]c1ccc(C(=O)O)cc1,0.6,-0.125,0.085,-0.41093,-0.02129
NNc1ccc(C(=O)O)cc1,-0.55,-0.219,0.18,-0.22609,-0.05043
O=C(O)c1ccc([SiH3])cc1,0.1,-0.169,-0.441,-0.27522,-0.07377
O=C(O)c1ccc(C(Br)(Br)Br)cc1,0.29,-0.16,-0.096,-0.27754,-0.09348
O=C(O)c1ccc(C(F)(F)Cl)cc1,0.46,-0.159,-0.123,-0.29073,-0.08999
O=C(O)c1ccc(-n2nnnc2Cl)cc1,0.61,-0.162,0.147,-0.29151,-0.09632
O=C(O)c1ccc(C(=O)Cl)cc1,0.61,-0.141,-0.161,-0.29555,-0.11392
O=C(O)c1ccc(N=C(Cl)Cl)cc1,0.13,-0.181,0.142,-0.26348,-0.08304
O=C(O)c1ccc(C(Cl)(Cl)Cl)cc1,0.46,-0.16,-0.083,-0.28545,-0.09055
O=C(O)c1ccc(OC(Cl)(Cl)Cl)cc1,0.35,-0.172,0.292,-0.28664,-0.08263
O=C(O)c1ccc(C(=O)F)cc1,0.7,-0.143,-0.183,-0.29562,-0.10929
O=C(O)c1ccc(C(F)(F)F)cc1,0.54,-0.159,-0.137,-0.29205,-0.08779
O=C(O)c1ccc([Hg]C(F)(F)F)cc1,0.32,-0.168,-0.422,-0.27587,-0.07382
O=C(O)c1ccc([Hg]SC(F)(F)F)cc1,0.42,-0.167,-0.393,-0.26734,-0.07883
O=C(O)c1ccc(I=NS(=O)(=O)C(F)(F)F)cc1,1.35,-0.16,-0.206,-0.28012,-0.13204
O=C(O)c1ccc(N=NC(F)(F)F)cc1,0.68,-0.142,0.079,-0.28499,-0.12918
O=C(O)c1ccc(OC(F)(F)F)cc1,0.35,-0.173,0.287,-0.28804,-0.07925
O=C(O)c1ccc(S(=O)C(F)(F)F)cc1,0.69,-0.156,-0.267,-0.27671,-0.09496
O=C(O)c1ccc([Se](=O)C(F)(F)F)cc1,0.83,-0.157,-0.304,-0.27509,-0.09577
O=C(O)c1ccc(S(=O)(=O)C(F)(F)F)cc1,0.96,-0.141,-0.321,-0.30603,-0.10836
O=C(O)c1ccc([Se](=O)(=O)C(F)(F)F)cc1,1.21,-0.144,-0.336,-0.30892,-0.10989
O=C(O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,0.53,-0.171,0.286,-0.28956,-0.08573
O=C(O)c1ccc(SC(F)(F)F)cc1,0.5,-0.157,-0.208,-0.28492,-0.08931
O=C(O)c1ccc([Se]C(F)(F)F)cc1,0.45,-0.158,-0.244,-0.26612,-0.08904
N#C[Hg]c1ccc(C(=O)O)cc1,0.34,-0.167,-0.424,-0.279,-0.07722
N#Cc1ccc(C(=O)O)cc1,0.66,-0.154,-0.153,-0.29114,-0.1005
[C-]#[N+]c1ccc(C(=O)O)cc1,0.49,-0.167,0.128,-0.28384,-0.09276
O=C=Nc1ccc(C(=O)O)cc1,0.19,-0.182,0.148,-0.26341,-0.07885
N#COc1ccc(C(=O)O)cc1,0.54,-0.181,0.308,-0.28253,-0.08202
N#CS(=O)(=O)c1ccc(C(=O)O)cc1,1.26,-0.138,-0.316,-0.31184,-0.11655
O=C(O)c1ccc(N=C=S)cc1,0.38,-0.177,0.138,-0.252,-0.08836
N#CSc1ccc(C(=O)O)cc1,0.52,-0.176,-0.167,-0.26589,-0.08271
N#C[Se]c1ccc(C(=O)O)cc1,0.66,-0.157,-0.224,-0.27156,-0.09272
N#CN=Nc1ccc(C(=O)O)cc1,1.03,-0.134,0.078,-0.28997,-0.14846
N#C/N=[N+](\[O-])c1ccc(C(=O)O)cc1,0.89,-0.141,0.106,-0.29688,-0.14479
O=C(O)c1ccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])cc1,0.82,-0.139,-0.129,-0.30583,-0.14135
[N-]=[N+]=Nc1nnnn1-c1ccc(C(=O)O)cc1,0.54,-0.169,0.155,-0.27959,-0.0964
O=C([O-])c1ccc(C(=O)O)cc1,0.0,-0.213,-0.076,-0.07304,0.04491
O=C(O)c1ccc(C(Br)Br)cc1,0.32,-0.164,-0.076,-0.27452,-0.08799
O=C(O)c1ccc(C(Cl)Cl)cc1,0.32,-0.164,-0.07,-0.28119,-0.08563
O=C(O)c1ccc(OC(Cl)Cl)cc1,0.26,-0.18,0.308,-0.27931,-0.0772
O=C(O)c1ccc(C(F)F)cc1,0.32,-0.162,-0.112,-0.28677,-0.08292
O=C(O)c1ccc(OC(F)F)cc1,0.18,-0.19,0.315,-0.27179,-0.07166
O=C(O)c1ccc(S(=O)C(F)F)cc1,0.58,-0.161,-0.263,-0.2674,-0.09154
O=C(O)c1ccc(S(=O)(=O)C(F)F)cc1,0.86,-0.145,-0.316,-0.30362,-0.10491
O=C(O)c1ccc(SC(F)F)cc1,0.37,-0.165,-0.205,-0.26782,-0.08505
N=S(=O)(c1ccc(C(=O)O)cc1)C(F)(F)F,0.84,-0.145,-0.292,-0.29144,-0.10094
O=C(O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,0.39,-0.181,0.145,-0.27294,-0.08064
O=C(O)c1ccc(C(I)I)cc1,0.26,-0.162,-0.067,-0.25793,-0.08959
N#CNc1ccc(C(=O)O)cc1,0.06,-0.196,0.177,-0.25442,-0.07129
O=C(O)c1ccc(-n2cnnn2)cc1,0.5,-0.17,0.158,-0.28469,-0.09576
O=C(O)c1ccc(-c2nnn[nH]2)cc1,0.56,-0.15,-0.087,-0.27825,-0.0998
O=C(O)c1ccc(-n2nnnc2O)cc1,0.33,-0.174,0.157,-0.2768,-0.08822
O=C(O)c1ccc(-n2nnnc2S)cc1,0.45,-0.167,0.154,-0.27495,-0.09234
O=C(O)c1ccc(Nc2nnns2)cc1,0.19,-0.154,0.15,-0.25184,-0.08535
O=Cc1ccc(C(=O)O)cc1,0.42,-0.148,-0.155,-0.27951,-0.10478
O=C(O)c1ccc(C(=O)O)cc1,0.45,-0.152,-0.152,-0.28458,-0.09523
O=C(O)c1ccc(CBr)cc1,0.14,-0.171,-0.053,-0.27164,-0.08152
O=C(O)c1ccc(CCl)cc1,0.12,-0.169,-0.052,-0.27717,-0.0793
O=C(O)c1ccc(OCCl)cc1,0.08,-0.195,0.327,-0.26007,-0.0652
O=C(O)c1ccc(CF)cc1,0.11,-0.167,-0.077,-0.27989,-0.07717
O=C(O)c1ccc(OCF)cc1,0.02,-0.196,0.327,-0.26034,-0.0635
O=C(O)c1ccc(SCF)cc1,0.2,-0.182,-0.182,-0.25,-0.07248
O=C(O)c1ccc(CI)cc1,0.11,-0.166,-0.046,-0.25649,-0.08565
O=CNc1ccc(C(=O)O)cc1,0.0,-0.195,0.175,-0.25496,-0.07527
NC(=O)c1ccc(C(=O)O)cc1,0.36,-0.162,-0.119,-0.2724,-0.0864
NC(=S)c1ccc(C(=O)O)cc1,0.3,-0.162,-0.091,-0.22574,-0.09511
O=C(O)c1ccc(/C=N/O)cc1,0.1,-0.17,-0.084,-0.25223,-0.08645
NC(=O)N=[N+]([O-])c1ccc(C(=O)O)cc1,0.63,-0.149,0.113,-0.28511,-0.12653
Cc1ccc(C(=O)O)cc1,-0.17,-0.187,-0.009,-0.26249,-0.06083
C[Si](Cl)(Cl)c1ccc(C(=O)O)cc1,0.39,-0.16,-0.528,-0.28314,-0.08405
C[Si](F)(F)c1ccc(C(=O)O)cc1,0.23,-0.16,-0.555,-0.28222,-0.08303
C[Hg]c1ccc(C(=O)O)cc1,0.1,-0.178,-0.431,-0.23918,-0.05442
O=C(O)c1ccc(NCS(=O)(=O)[O-])cc1,-0.57,-0.255,0.223,-0.11066,0.0406
NC(=O)Nc1ccc(C(=O)O)cc1,-0.24,-0.197,0.172,-0.24923,-0.07077
CN(c1ccc(C(=O)O)cc1)[N+](=O)[O-],0.61,-0.17,0.149,-0.26806,-0.08676
NC(=S)Nc1ccc(C(=O)O)cc1,0.16,-0.167,0.147,-0.22776,-0.07148
COc1ccc(C(=O)O)cc1,-0.27,-0.16,0.313,-0.24343,-0.05397
O=C(O)c1ccc(CO)cc1,0.0,-0.174,-0.068,-0.27011,-0.06765
CS(=O)c1ccc(C(=O)O)cc1,0.49,-0.169,-0.274,-0.24827,-0.08073
COSc1ccc(C(=O)O)cc1,0.17,-0.166,-0.243,-0.23569,-0.06852
CS(=O)Oc1ccc(C(=O)O)cc1,0.45,-0.171,0.266,-0.26735,-0.07323
COS(=O)c1ccc(C(=O)O)cc1,0.54,-0.167,-0.286,-0.26485,-0.08615
CS(=O)(=O)c1ccc(C(=O)O)cc1,0.72,-0.169,-0.324,-0.28852,-0.09
CS(=O)(=O)Sc1ccc(C(=O)O)cc1,0.54,-0.175,-0.243,-0.27622,-0.09982
CS(=O)(=O)Oc1ccc(C(=O)O)cc1,0.36,-0.167,0.262,-0.27876,-0.07821
CSc1ccc(C(=O)O)cc1,0.0,-0.163,-0.199,-0.22992,-0.06253
CSSc1ccc(C(=O)O)cc1,0.13,-0.168,-0.21,-0.24141,-0.06767
C[Se]c1ccc(C(=O)O)cc1,0.0,-0.175,-0.257,-0.22284,-0.0633
CNc1ccc(C(=O)O)cc1,-0.7,-0.158,0.167,-0.21587,-0.04348
NCc1ccc(C(=O)O)cc1,-0.11,-0.173,-0.06,-0.25293,-0.06077
CS(=O)(=O)Nc1ccc(C(=O)O)cc1,0.03,-0.159,0.136,-0.25628,-0.07007
[NH3+]Cc1ccc(C(=O)O)cc1,0.53,-0.146,-0.14,-0.39726,-0.20893
O=C(O)c1ccc(N(C(=O)F)C(=O)F)cc1,0.57,-0.161,0.126,-0.29808,-0.09003
O=C(O)c1ccc([Hg]OC(=O)C(F)(F)F)cc1,0.52,-0.163,-0.394,-0.2821,-0.08555
O=C(O)c1ccc(C(=O)C(F)(F)F)cc1,0.8,-0.176,0.581,-0.29602,-0.12116
O=C(O)c1ccc(SC(=O)C(F)(F)F)cc1,0.46,-0.169,1.581,-0.28841,-0.09239
O=C(O)c1ccc(OC(=O)C(F)(F)F)cc1,0.46,-0.16,2.581,-0.28867,-0.0828
O=C(O)c1ccc(N(C(=O)F)C(F)(F)F)cc1,0.5,-0.163,3.581,-0.29877,-0.09122
O=C(O)c1ccc(C(F)(F)C(F)(F)F)cc1,0.52,-0.169,-0.148,-0.29288,-0.08984
O=C(O)c1ccc(OC(F)(F)C(F)(F)F)cc1,0.28,-0.161,0.265,-0.28463,-0.07883
O=C(O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)F)cc1,1.08,-0.167,-0.338,-0.30565,-0.10904
O=C(O)c1ccc(SC(F)(F)C(F)(F)F)cc1,0.48,-0.17,-0.232,-0.28713,-0.09045
O=C(O)c1ccc(N(C(F)(F)F)C(F)(F)F)cc1,0.53,-0.166,0.107,-0.29399,-0.08768
O=C(O)c1ccc(/S(=N/S(=O)(=O)C(F)(F)F)C(F)(F)F)cc1,1.28,-0.156,-0.273,-0.30521,-0.11339
O=C(O)c1ccc(S(=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)cc1,1.4,-0.162,-0.31,-0.3155,-0.11901
O=C(O)c1ccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)cc1,0.83,-0.167,0.08,-0.29851,-0.10146
O=C(O)c1ccc(P(C(F)(F)F)C(F)(F)F)cc1,0.69,-0.172,-0.404,-0.29439,-0.0981
N#CP(C#N)c1ccc(C(=O)O)cc1,0.9,-0.168,-0.376,-0.30216,-0.10624
C#Cc1ccc(C(=O)O)cc1,0.23,-0.174,-0.131,-0.25746,-0.08199
O=C(O)c1ccc(OC(F)(F)C(F)Cl)cc1,0.28,-0.175,0.29,-0.28382,-0.0758
O=C(O)c1ccc(NC(=O)C(F)(F)F)cc1,0.12,-0.183,0.161,-0.26618,-0.08506
O=C(O)c1ccc(/C=N/S(=O)(=O)C(F)(F)F)cc1,1.0,-0.135,-0.135,-0.2992,-0.12649
O=C(O)c1ccc(OC(F)(F)C(F)F)cc1,0.25,-0.178,0.301,-0.27931,-0.07521
O=C(O)c1ccc(SC(F)(F)C(F)F)cc1,0.47,-0.158,-0.201,-0.28289,-0.08768
O=C(O)c1ccc(-n2nnnc2SS2=NN=NN2)cc1,0.64,-0.172,0.161,-0.25272,-0.14653
C#CSc1ccc(C(=O)O)cc1,0.19,-0.185,-0.169,-0.23841,-0.07074
O=C(O)c1ccc(S/C=C/Cl)cc1,0.24,-0.184,-0.18,-0.2384,-0.07262
O=C(O)c1ccc([Se]/C=C/Cl)cc1,0.26,-0.179,-0.213,-0.23122,-0.07175
O=C(O)c1ccc(CC(F)(F)F)cc1,0.09,-0.172,-0.034,-0.27974,-0.07455
O=C(O)c1ccc(CS(=O)C(F)(F)F)cc1,0.24,-0.169,-0.063,-0.26792,-0.07858
O=C(O)c1ccc(CS(=O)(=O)C(F)(F)F)cc1,0.31,-0.162,-0.069,-0.28645,-0.08687
O=C(O)c1ccc(CSC(F)(F)F)cc1,0.15,-0.17,-0.047,-0.27521,-0.07977
N#CCc1ccc(C(=O)O)cc1,0.18,-0.175,-0.014,-0.28074,-0.07533
O=C(O)c1ccc(C=C[N+](=O)[O-])cc1,0.26,-0.153,-0.078,-0.27924,-0.12792
O=C([O-])Cc1ccc(C(=O)O)cc1,-0.16,-0.223,0.028,-0.07213,-0.04524
N#CSCc1ccc(C(=O)O)cc1,0.14,-0.166,-0.058,-0.27609,-0.08866
C=Cc1ccc(C(=O)O)cc1,-0.04,-0.177,-0.056,-0.24745,-0.07928
O=C(CCl)Nc1ccc(C(=O)O)cc1,-0.03,-0.18,0.162,-0.26382,-0.08006
CN(c1ccc(C(=O)O)cc1)S(=O)(=O)C(F)(F)F,0.44,-0.172,0.149,-0.27213,-0.08153
CC(=O)O[Hg]c1ccc(C(=O)O)cc1,0.4,-0.166,-0.4,-0.24155,-0.07902
CC(c1ccc(C(=O)O)cc1)([N+](=O)[O-])[N+](=O)[O-],0.61,-0.151,-0.09,-0.29389,-0.11694
O=C(O)c1ccc(C2CO2)cc1,0.03,-0.179,-0.056,-0.26482,-0.0692
C=COc1ccc(C(=O)O)cc1,-0.09,-0.198,0.331,-0.24435,-0.06249
CC(=O)c1ccc(C(=O)O)cc1,0.5,-0.132,-0.154,-0.27084,-0.09666
CC(=O)Sc1ccc(C(=O)O)cc1,0.44,-0.165,-0.205,-0.26798,-0.08677
CC(=O)Oc1ccc(C(=O)O)cc1,0.31,-0.182,0.306,-0.27638,-0.07712
COC(=O)c1ccc(C(=O)O)cc1,0.45,-0.156,-0.14,-0.28001,-0.08987
O=C(O)c1ccc(C2CS2)cc1,0.01,-0.178,-0.039,-0.24122,-0.07374
C=CSc1ccc(C(=O)O)cc1,0.2,-0.131,-0.217,-0.21456,-0.14347
C=C[Se]c1ccc(C(=O)O)cc1,0.21,-0.167,-0.235,-0.22464,-0.07826
O=C(O)c1ccc(N2CC2)cc1,-0.22,-0.205,0.182,-0.23076,-0.05523
O=C(O)c1ccc(C2CN2)cc1,-0.1,-0.185,-0.033,-0.25427,-0.06133
CN1OC1c1ccc(C(=O)O)cc1,0.12,-0.169,-0.077,-0.26696,-0.07417
COC(=O)Nc1ccc(C(=O)O)cc1,-0.17,-0.2,0.18,-0.24508,-0.06422
CC(=O)Nc1ccc(C(=O)O)cc1,0.0,-0.192,0.173,-0.25162,-0.07321
CNC(=O)c1ccc(C(=O)O)cc1,0.36,-0.165,-0.109,-0.26627,-0.08241
CO/N=C/c1ccc(C(=O)O)cc1,0.3,-0.172,-0.084,-0.24421,-0.08491
NC(=O)Cc1ccc(C(=O)O)cc1,0.07,-0.179,-0.039,-0.2604,-0.07571
CC(=S)Nc1ccc(C(=O)O)cc1,0.12,-0.185,0.165,-0.22667,-0.08642
CNC(=S)c1ccc(C(=O)O)cc1,0.34,-0.169,-0.087,-0.21917,-0.08522
NC(=S)N/N=C/c1ccc(C(=O)O)cc1,0.4,-0.166,-0.089,-0.22872,-0.10073
O=C(O)c1ccc(OCC[O-])cc1,-0.12,-0.241,0.379,-0.01062,0.03817
CCc1ccc(C(=O)O)cc1,-0.15,-0.186,-0.005,-0.26235,-0.06107
NNC(=O)N/N=C/c1ccc(C(=O)O)cc1,0.16,-0.175,-0.078,-0.23762,-0.0855
CCOc1ccc(C(=O)O)cc1,-0.24,-0.209,0.347,-0.24174,-0.05274
CC(O)c1ccc(C(=O)O)cc1,-0.07,-0.183,-0.028,-0.26232,-0.06126
COCc1ccc(C(=O)O)cc1,0.01,-0.175,-0.038,-0.26767,-0.06662
CCS(=O)(=O)c1ccc(C(=O)O)cc1,0.77,-0.155,-0.295,-0.29321,-0.09197
CCSc1ccc(C(=O)O)cc1,0.03,-0.196,-0.173,-0.22815,-0.06145
CN(C)P(Cl)c1ccc(C(=O)O)cc1,0.56,-0.16,-0.384,-0.22861,-0.08725
N[C+](N)SCc1ccc(C(=O)O)cc1,0.15,-0.139,-0.091,-0.37724,-0.20415
C[Si](C)(Cl)c1ccc(C(=O)O)cc1,0.21,-0.167,-0.5,-0.27508,-0.07608
C[Si](C)(F)c1ccc(C(=O)O)cc1,0.17,-0.17,-0.516,-0.27324,-0.07213
CCNc1ccc(C(=O)O)cc1,-0.61,-0.225,0.203,-0.21526,-0.04313
CN(C)c1ccc(C(=O)O)cc1,-0.83,-0.226,0.209,-0.21045,-0.04234
CN(c1ccc(C(=O)O)cc1)S(C)(=O)=O,0.24,-0.185,0.154,-0.2538,-0.07256
CN(C)S(=O)(=O)c1ccc(C(=O)O)cc1,0.65,-0.156,-0.294,-0.26651,-0.09013
CS(=O)(=O)N(c1ccc(C(=O)O)cc1)S(C)(=O)=O,0.49,-0.159,0.111,-0.28468,-0.08758
CN(C)Sc1ccc(C(=O)O)cc1,0.09,-0.196,-0.182,-0.22997,-0.05898
CN(C)N=Nc1ccc(C(=O)O)cc1,-0.03,-0.19,0.131,-0.22418,-0.0722
Cn1c2cc(C(=O)O)ccc2n[n+]1C,1.17,-0.144,0.134,-0.40877,-0.24865
CP(C)(=O)c1ccc(C(=O)O)cc1,0.5,-0.165,-0.407,-0.27265,-0.07954
COP(=O)(OC)c1ccc(C(=O)O)cc1,0.53,-0.161,-0.433,-0.27889,-0.07879
CP(C)c1ccc(C(=O)O)cc1,0.06,-0.181,-0.322,-0.23356,-0.0669
C[S+](C)c1ccc(C(=O)O)cc1,0.9,-0.114,-0.246,-0.40665,-0.21971
Cc1ccc(S(=O)(=O)S(C)(C)c2ccc(C(=O)O)cc2)cc1,0.96,-0.155,-0.194,-0.18414,-0.08915
[NH3+]CCc1ccc(C(=O)O)cc1,0.17,-0.148,-0.081,-0.39101,-0.194
C[SiH](C)c1ccc(C(=O)O)cc1,0.04,-0.174,-0.456,-0.2686,-0.06843
O=C(O)c1ccc(C#CC(F)(F)F)cc1,0.51,-0.158,-0.127,-0.27821,-0.09952
O=C(O)c1ccc(/C(F)=C(\F)C(F)(F)F)cc1,0.46,-0.156,-0.118,-0.27308,-0.10334
O=C(O)c1ccc(N=C(C(F)(F)F)C(F)(F)F)cc1,0.23,-0.172,0.124,-0.27199,-0.11405
O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,0.48,-0.155,-0.125,-0.29309,-0.09082
O=C(O)c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1,0.53,-0.159,-0.09,-0.29241,-0.08742
O=C(O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1,1.09,-0.14,-0.318,-0.30624,-0.11015
O=C(O)c1ccc(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)cc1,1.1,-0.139,-0.311,-0.30598,-0.11098
O=C(O)c1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,0.48,-0.157,-0.205,-0.28212,-0.09091
O=C(O)c1ccc(SC(F)(C(F)(F)F)C(F)(F)F)cc1,0.51,-0.156,-0.202,-0.28148,-0.09162
O=C(O)c1ccc([Te]C(F)(F)C(F)(F)C(F)(F)F)cc1,0.48,-0.155,-0.356,-0.2503,-0.09229
O=C(O)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.3,-0.163,-0.063,-0.28492,-0.08075
O=C(O)c1ccc(C(SC(F)(F)F)SC(F)(F)F)cc1,0.44,-0.164,-0.063,-0.28024,-0.08743
N#CC(C#N)c1ccc(C(=O)O)cc1,0.52,-0.161,-0.019,-0.29876,-0.09184
O=C(O)c1ccc(/C=C\C(F)(F)F)cc1,0.17,-0.162,-0.075,-0.26803,-0.09492
O=C(O)c1ccc(/C=C/C(F)(F)F)cc1,0.27,-0.164,-0.068,-0.26824,-0.0982
O=C(O)c1ccc(/C=C/S(=O)(=O)C(F)(F)F)cc1,0.55,-0.151,-0.089,-0.2845,-0.11803
N#C/C=C/c1ccc(C(=O)O)cc1,0.17,-0.16,-0.075,-0.2658,-0.10959
CC#Cc1ccc(C(=O)O)cc1,0.03,-0.177,-0.091,-0.24414,-0.07418
CN(C(=O)C(F)(F)F)c1ccc(C(=O)O)cc1,0.39,-0.166,0.151,-0.28018,-0.08376
O=C/C=C/c1ccc(C(=O)O)cc1,0.13,-0.159,-0.075,-0.26617,-0.11073
O=C(O)c1ccc(C2CC2)cc1,-0.21,-0.191,-0.085,-0.24968,-0.05989
C=C(C)c1ccc(C(=O)O)cc1,0.05,-0.179,-0.036,-0.2458,-0.07312
C/C=C/c1ccc(C(=O)O)cc1,-0.09,-0.183,-0.044,-0.23715,-0.07326
C=CCc1ccc(C(=O)O)cc1,-0.14,-0.184,-0.007,-0.2618,-0.06317
CCC(c1ccc(C(=O)O)cc1)([N+](=O)[O-])[N+](=O)[O-],0.64,-0.154,-0.08,-0.29232,-0.11527
C=CCOc1ccc(C(=O)O)cc1,-0.25,-0.208,0.345,-0.24347,-0.05405
CCC(=O)c1ccc(C(=O)O)cc1,0.48,-0.155,-0.13,-0.26661,-0.09638
CCOC(=O)c1ccc(C(=O)O)cc1,0.45,-0.156,-0.14,-0.27883,-0.08874
CC(=O)OCc1ccc(C(=O)O)cc1,0.05,-0.179,-0.042,-0.27288,-0.06912
O=C(O)CCc1ccc(C(=O)O)cc1,-0.07,-0.183,-0.009,-0.26859,-0.06609
C=CCSc1ccc(C(=O)O)cc1,0.12,-0.194,-0.174,-0.23053,-0.06353
C=CC[Se]c1ccc(C(=O)O)cc1,0.12,-0.174,-0.222,-0.22894,-0.07344
CC(=O)N(C)c1ccc(C(=O)O)cc1,0.26,-0.176,0.172,-0.25602,-0.07793
CC(=O)NCc1ccc(C(=O)O)cc1,-0.05,-0.18,-0.032,-0.26458,-0.07097
CCOC(=O)Nc1ccc(C(=O)O)cc1,-0.15,-0.199,0.178,-0.24332,-0.06079
CC(C)(c1ccc(C(=O)O)cc1)[N+](=O)[O-],0.2,-0.17,-0.033,-0.28008,-0.08849
CC(C)c1ccc(C(=O)O)cc1,-0.15,-0.186,0.003,-0.26188,-0.06038
CCCc1ccc(C(=O)O)cc1,-0.13,-0.186,-0.002,-0.26143,-0.06063
CCNC(=O)Nc1ccc(C(=O)O)cc1,-0.26,-0.201,0.176,-0.24298,-0.06476
CCNC(=S)Nc1ccc(C(=O)O)cc1,0.07,-0.192,0.166,-0.22034,-0.07737
CC(C)Oc1ccc(C(=O)O)cc1,-0.45,-0.21,0.35,-0.2391,-0.05173
CCCOc1ccc(C(=O)O)cc1,-0.25,-0.208,0.347,-0.24152,-0.05238
CC(O)Cc1ccc(C(=O)O)cc1,-0.17,-0.185,-0.009,-0.25879,-0.05822
CC(C)(OO)c1ccc(C(=O)O)cc1,-0.14,-0.177,-0.022,-0.26735,-0.06747
