SMILES,Sigma
O=C(O)c1ccc(-c2c(F)c(F)c(F)c(F)c2F)cc1,0.27
O=C(O)c1ccc(P(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1,1.1
O=C(O)c1ccc(OP(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.56
O=C(O)c1ccc(NP(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.18
O=C(O)c1ccc(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.3
O=C(O)c1ccc(-c2cccc(Br)c2)cc1,0.08
O=C(O)c1ccc(-c2ccc(Br)cc2)cc1,0.12
O=C(O)c1ccc(-c2cccc(Cl)c2)cc1,0.1
O=C(O)c1ccc(-c2ccc(Cl)cc2)cc1,0.12
O=C(O)c1ccc(-c2cccc(F)c2)cc1,0.1
O=C(O)c1ccc(-c2ccc(F)cc2)cc1,0.06
O=C(O)c1ccc(Oc2ccc(F)cc2)cc1,-0.1
O=C(O)c1ccc(-c2cccc(I)c2)cc1,0.06
O=C(O)c1ccc(-c2ccc(I)cc2)cc1,0.1
O=C(O)c1ccc(-c2cccc([N+](=O)[O-])c2)cc1,0.2
O=C(O)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,0.26
O=C(O)c1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,0.24
O=C(O)c1ccc(S(=O)c2ccc([N+](=O)[O-])cc2)cc1,0.6
O=C(O)c1ccc(-n2nc3ccccc3n2)cc1,0.51
O=C(O)c1ccc(-c2ccccc2)cc1,-0.01
O=C(O)c1ccc(/[N+]([O-])=N\S(=O)(=O)c2ccccc2)cc1,0.79
O=C(O)c1ccc(N=Nc2ccccc2)cc1,0.39
O=C(O)c1ccc(Oc2ccccc2)cc1,-0.03
O=C(O)c1ccc(S(=O)c2ccccc2)cc1,0.44
CC(=O)c1ccc(-c2ccc(C(=O)O)cc2)o1,0.08
CC1=CC=CC(c2ccc(C(=O)O)cc2)O1,0.43
O=C(O)c1ccc(S(=O)(=O)c2ccccc2)cc1,0.68
O=C(O)c1ccc(OS(=O)(=O)c2ccccc2)cc1,0.33
O=C(O)c1ccc(Sc2ccccc2)cc1,0.07
O=C(O)c1ccc(Nc2ccccc2)cc1,-0.56
O=C(O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,0.01
O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,0.65
CCc1ccc(-c2ccc(C(=O)O)cc2)o1,-0.13
Cc1ccc(C)n1-c1ccc(C(=O)O)cc1,0.38
O=C(O)c1ccc(C2=CCCCC2)cc1,-0.08
O=C(O)c1ccc(C2CCCCC2)cc1,-0.15
CCCN(CCC)c1ccc(C(=O)O)cc1,-0.93
CN(C)CCCCc1ccc(C(=O)O)cc1,-0.16
CC(C)P(=O)(c1ccc(C(=O)O)cc1)C(C)C,0.41
CC(C)P(c1ccc(C(=O)O)cc1)C(C)C,0.06
CCCOP(=O)(OCCC)c1ccc(C(=O)O)cc1,0.5
CC[Ge](CC)(CC)c1ccc(C(=O)O)cc1,0.0
C[N+](C)(C)CCCc1ccc(C(=O)O)cc1,-0.01
CCO[Si](OCC)(OCC)c1ccc(C(=O)O)cc1,0.08
CC[P+](CC)(CC)c1ccc(C(=O)O)cc1,0.98
CC[Sn](CC)(CC)c1ccc(C(=O)O)cc1,0.0
O=C(O)c1ccc(P(=NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1,1.37
CN(C)[Si](c1ccc(C(=O)O)cc1)(N(C)C)N(C)C,-0.04
O=C(O)c1ccc(-c2nc3ccccc3o2)cc1,0.33
O=C(O)c1ccc(-c2nc3ccccc3s2)cc1,0.29
O=C(O)c1ccc(C(=O)c2ccccc2)cc1,0.43
O=C(O)c1ccc(OC(=O)c2ccccc2)cc1,0.13
O=C(O)c1ccc(C(=O)Oc2ccccc2)cc1,0.44
O=C(O)c1ccc(/N=C/c2ccccc2)cc1,-0.55
O=C(O)c1ccc(/C=N/c2ccccc2)cc1,0.42
O=C(O)c1ccc(NC(=O)c2ccccc2)cc1,-0.19
O=C(O)c1ccc(C(=O)Nc2ccccc2)cc1,0.41
Cc1ccc(-c2ccc(C(=O)O)cc2)cc1,-0.03
O=C(O)c1ccc(Cc2ccccc2)cc1,-0.09
Cc1ccc(O)c(/N=N/c2ccc(C(=O)O)cc2)c1,0.31
COc1ccc(-c2ccc(C(=O)O)cc2)cc1,-0.08
O=C(O)c1ccc(C(O)c2ccccc2)cc1,-0.03
O=C(O)c1ccc(COc2ccccc2)cc1,0.07
O=C(O)c1ccc(CS(=O)(=O)c2ccccc2)cc1,0.16
CCC(CC)(CC)c1ccc(C(=O)O)cc1,-0.2
CCCCCCCc1ccc(C(=O)O)cc1,-0.16
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)c1ccc(C(=O)O)cc1,-0.01
O=C(O)c1ccc(C(F)(F)C(F)(F)c2ccc(F)cc2)cc1,0.39
O=C(O)c1ccc(C#Cc2ccccc2)cc1,0.16
O=C(O)c1ccc(/C=N/C(=O)c2ccccc2)cc1,0.51
O=C(O)c1ccc(/C=C/c2ccccc2)cc1,-0.07
O=C(O)c1ccc(/C=N/NC(=O)c2ccccc2)cc1,0.51
COc1ccc(/C=N/c2ccc(C(=O)O)cc2)cc1,-0.54
COc1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1,-0.06
Cc1ccc(S(=O)(=O)/N=C/Sc2ccc(C(=O)O)cc2)cc1,0.7
CCc1ccc(-c2ccc(C(=O)O)cc2)cc1,-0.02
O=C(O)c1ccc(CCc2ccccc2)cc1,-0.12
C/C(=N\c1ccc(C(=O)O)cc1)Nc1ccccc1,0.08
C[Si](C)(c1ccccc1)c1ccc(C(=O)O)cc1,0.07
Cc1ccc(S(=O)(=O)/N=S(\C)c2ccc(C(=O)O)cc2)cc1,0.7
Cc1cc(C)[n+](-c2ccc(C(=O)O)cc2)c(C)c1,0.58
CC(C)(C)P(=O)(c1ccc(C(=O)O)cc1)C(C)(C)C,0.41
CCCCP(=O)(CCCC)c1ccc(C(=O)O)cc1,0.49
CCCCOP(=O)(OCCCC)c1ccc(C(=O)O)cc1,0.57
CC(C)(C)P(c1ccc(C(=O)O)cc1)C(C)(C)C,0.15
O=C(O)c1ccc(/C=C/C(=O)c2ccc([N+](=O)[O-])cc2)cc1,0.05
O=C(O)c1ccc(/C=C/C(=O)c2ccccc2)cc1,0.05
CC(C)c1ccc(-c2ccc(C(=O)O)cc2)cc1,0.01
C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1ccc(C(=O)O)cc1,-0.01
CC(C)(C)c1ccc(-c2ccc(C(=O)O)cc2)cc1,0.01
O=C(O)c1ccc(C23CC4CC(CC(C4)C2)C3)cc1,-0.13
O=C(O)c1ccc([As](c2ccccc2)c2ccccc2)cc1,0.09
O=C(O)c1ccc([As](=O)(c2ccccc2)c2ccccc2)cc1,0.64
O=C(O)c1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.22
O=C(O)c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1,0.53
O=C(O)c1ccc(P(c2ccccc2)c2ccccc2)cc1,0.19
O=C(O)c1ccc(P(=S)(c2ccccc2)c2ccccc2)cc1,0.47
CCCN(CCC)P(c1ccc(C(=O)O)cc1)c1cccc(F)c1,0.24
O=C(O)c1ccc(-c2cc(=O)c3ccc4ccccc4c3o2)cc1,0.38
O=C(O)c1ccc(-c2cc(=O)c3c(ccc4ccccc43)o2)cc1,0.38
O=C(O)c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1,0.21
O=C(O)c1ccc(C(c2ccccc2)c2ccccc2)cc1,-0.05
CN1c2ccccc2[As](c2ccc(C(=O)O)cc2)c2ccccc21,0.07
Cc1ccc(P(=O)(c2ccccc2)c2ccc(C(=O)O)cc2)cc1,0.3
O=C(O)c1ccc(CP(=O)(c2ccccc2)c2ccccc2)cc1,0.01
Cc1ccc(P(=S)(c2ccccc2)c2ccc(C(=O)O)cc2)cc1,0.3
C[P+](c1ccccc1)(c1ccccc1)c1ccc(C(=O)O)cc1,1.18
C[Si](c1ccccc1)(c1ccccc1)c1ccc(C(=O)O)cc1,0.13
O=C(O)c1ccc(C(=O)OC(c2ccccc2)c2ccccc2)cc1,0.56
Cc1ccc(P(=O)(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1,0.3
Cc1ccc(P(=S)(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1,0.23
Cc1ccc([P+](C)(c2ccccc2)c2ccc(C(=O)O)cc2)cc1,1.11
Cc1ccc([P+](C)(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1,1.18
O=C(O)c1ccc([Ge](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0.08
Cc1cc(-c2ccccc2)cc(-c2ccccc2)[n+]1-c1ccc(C(=O)O)cc1,0.7
O=C(O)c1ccc(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-0.77
O=C(O)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0.1
O=C(O)c1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0.27
O=C(O)c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0.02
O=C(O)c1ccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1,0.33
