SMILES,Sigma
Cn1c[n+](C)c2cc(C(=O)O)ccc21,1.11
CCNC(=O)Nc1cccc(C(=O)O)c1,0.04
CCNC(=S)Nc1cccc(C(=O)O)c1,0.3
CC(C)Oc1cccc(C(=O)O)c1,0.1
CCCOc1cccc(C(=O)O)c1,0.1
CC(O)Cc1cccc(C(=O)O)c1,-0.12
CC(C)(OO)c1cccc(C(=O)O)c1,0.06
CC(C)Sc1cccc(C(=O)O)c1,0.23
CN(C)Cc1cccc(C(=O)O)c1,0.0
C[Ge](C)(C)c1cccc(C(=O)O)c1,0.0
C[N+](C)(C)c1cccc(C(=O)O)c1,0.88
C[NH+](C)Cc1cccc(C(=O)O)c1,0.4
CO[Si](C)(C)c1cccc(C(=O)O)c1,0.04
C[Si](C)(C)Oc1cccc(C(=O)O)c1,0.13
CO[Si](C)(OC)c1cccc(C(=O)O)c1,0.04
CO[Si](OC)(OC)c1cccc(C(=O)O)c1,0.09
C[P+](C)(C)c1cccc(C(=O)O)c1,0.74
C[Si](C)(C)c1cccc(C(=O)O)c1,-0.04
C[Sn](C)(C)c1cccc(C(=O)O)c1,0.0
O=C(O)c1cccc(I(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)c1,1.28
O=C(O)c1cccc(C2(F)C(F)(F)C(F)(F)C2(F)F)c1,0.48
O=C(O)c1cccc(C(=O)C(F)(F)C(F)(F)C(F)(F)F)c1,0.63
O=C(O)c1cccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.55
O=C(O)c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.47
O=C(O)c1cccc(S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.96
O=C(O)c1cccc(SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.51
O=C(O)c1cccc(C(SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)c1,0.51
O=C(O)c1cccc([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.49
N#CC(C#N)(C#N)c1cccc(C(=O)O)c1,0.97
O=C(O)c1cccc(C2(O)C(F)(F)C(F)(F)C2(F)F)c1,0.36
N#CC(C#N)=Cc1cccc(C(=O)O)c1,0.66
O=C(O)c1cccc(-c2ccc(Br)o2)c1,0.15
O=C(O)c1cccc(N2C(=O)C=CC2=O)c1,0.33
O=C(O)c1cccc(N2C(=O)CC(Cl)C2=O)c1,0.47
O=C(O)c1cccc(-c2cccnn2)c1,0.28
O=C(O)c1ccc2ccccc2c1,0.04
CC(C#N)(C#N)c1cccc(C(=O)O)c1,0.6
O=C(O)c1cccc(-c2ccncn2)c1,0.3
O=C(O)c1cccc(-c2ncccn2)c1,0.23
O=C(O)c1cccc(-c2cncnc2)c1,0.28
O=C(O)c1cccc(-c2ccco2)c1,0.06
O=C(O)c1cccc(-c2cccs2)c1,0.09
O=C(O)c1cccc(-c2ccsc2)c1,0.03
O=C(O)c1cccc(-c2ccc[se]2)c1,0.06
O=C(O)c1cccc(-c2ccc[te]2)c1,0.06
O=C(O)c1cccc(-n2cccc2)c1,0.47
O=C(O)c1cccc(N2C(=O)CCC2=O)c1,0.34
CC(=O)/C=C/c1cccc(C(=O)O)c1,0.21
CC(=O)N(C(C)=O)c1cccc(C(=O)O)c1,0.35
